subject,country,country_name,lottery,z1,z2,p1,ce
2774,29,USA,33,-20.0,0.0,0.75,-15.25
2774,29,USA,34,-20.0,0.0,0.875,-17.75
2774,29,USA,35,-20.0,-5.0,0.875,-12.75
2774,29,USA,44,20.0,0.0,0.5,12.75
2775,29,USA,1,5.0,0.0,0.5,1.75
2775,29,USA,2,10.0,0.0,0.5,1.75
2775,29,USA,3,20.0,0.0,0.5,2.25
2775,29,USA,4,30.0,0.0,0.5,5.25
2775,29,USA,5,30.0,10.0,0.5,12.75
2775,29,USA,6,30.0,20.0,0.5,23.25
2775,29,USA,7,20.0,0.0,0.125,1.25
2775,29,USA,8,20.0,5.0,0.125,7.75
2775,29,USA,9,20.0,0.0,0.25,1.25
2775,29,USA,10,20.0,0.0,0.375,1.75
2775,29,USA,11,20.0,0.0,0.625,4.75
2775,29,USA,12,20.0,0.0,0.75,5.25
2775,29,USA,13,20.0,0.0,0.875,8.25
2775,29,USA,14,20.0,5.0,0.875,16.75
2775,29,USA,23,-5.0,0.0,0.5,-2.25
2775,29,USA,24,-10.0,0.0,0.5,-6.75
2775,29,USA,25,-20.0,0.0,0.5,-16.75
2775,29,USA,26,-20.0,-5.0,0.5,-16.75
2775,29,USA,27,-20.0,-10.0,0.5,-16.75
2775,29,USA,28,-20.0,0.0,0.125,-11.75
2775,29,USA,29,-20.0,-5.0,0.125,-15.25
2775,29,USA,30,-20.0,0.0,0.25,-16.75
2775,29,USA,31,-20.0,0.0,0.375,-17.75
2775,29,USA,32,-20.0,0.0,0.625,-18.25
2775,29,USA,33,-20.0,0.0,0.75,-18.25
2775,29,USA,34,-20.0,0.0,0.875,-18.25
2775,29,USA,35,-20.0,-5.0,0.875,-18.25
2775,29,USA,44,20.0,0.0,0.5,8.75
2776,29,USA,1,5.0,0.0,0.5,3.25
2776,29,USA,2,10.0,0.0,0.5,5.75
2776,29,USA,3,20.0,0.0,0.5,8.25
2776,29,USA,4,30.0,0.0,0.5,12.75
2776,29,USA,5,30.0,10.0,0.5,14.25
2776,29,USA,6,30.0,20.0,0.5,25.75
2776,29,USA,7,20.0,0.0,0.125,1.75
2776,29,USA,8,20.0,5.0,0.125,5.25
2776,29,USA,9,20.0,0.0,0.25,3.25
2776,29,USA,10,20.0,0.0,0.375,2.75
2776,29,USA,11,20.0,0.0,0.625,17.25
2776,29,USA,12,20.0,0.0,0.75,19.75
2776,29,USA,13,20.0,0.0,0.875,19.75
2776,29,USA,14,20.0,5.0,0.875,19.75
2776,29,USA,23,-5.0,0.0,0.5,-3.25
2776,29,USA,24,-10.0,0.0,0.5,-7.75
2776,29,USA,25,-20.0,0.0,0.5,-13.25
2776,29,USA,26,-20.0,-5.0,0.5,-12.75
2776,29,USA,27,-20.0,-10.0,0.5,-14.75
2776,29,USA,28,-20.0,0.0,0.125,-2.25
2776,29,USA,29,-20.0,-5.0,0.125,-6.75
2776,29,USA,30,-20.0,0.0,0.25,-2.75
2776,29,USA,31,-20.0,0.0,0.375,-4.75
2776,29,USA,32,-20.0,0.0,0.625,-13.25
2776,29,USA,33,-20.0,0.0,0.75,-18.25
2776,29,USA,34,-20.0,0.0,0.875,-18.75
2776,29,USA,35,-20.0,-5.0,0.875,-16.25
2776,29,USA,44,20.0,0.0,0.5,10.25
2777,29,USA,1,5.0,0.0,0.5,2.25
2777,29,USA,2,10.0,0.0,0.5,4.75
2777,29,USA,3,20.0,0.0,0.5,8.75
2777,29,USA,4,30.0,0.0,0.5,11.25
2777,29,USA,5,30.0,10.0,0.5,19.75
2777,29,USA,6,30.0,20.0,0.5,24.75
2777,29,USA,7,20.0,0.0,0.125,9.75
2777,29,USA,8,20.0,5.0,0.125,7.25
2777,29,USA,9,20.0,0.0,0.25,4.75
2777,29,USA,10,20.0,0.0,0.375,7.25
2777,29,USA,11,20.0,0.0,0.625,12.25
2777,29,USA,12,20.0,0.0,0.75,14.75
2777,29,USA,13,20.0,0.0,0.875,17.25
2777,29,USA,14,20.0,5.0,0.875,18.75
2777,29,USA,23,-5.0,0.0,0.5,-2.75
2777,29,USA,24,-10.0,0.0,0.5,-4.75
2777,29,USA,25,-20.0,0.0,0.5,-8.25
2777,29,USA,26,-20.0,-5.0,0.5,-12.25
2777,29,USA,27,-20.0,-10.0,0.5,-14.75
2777,29,USA,28,-20.0,0.0,0.125,-4.75
2777,29,USA,29,-20.0,-5.0,0.125,-7.25
2777,29,USA,30,-20.0,0.0,0.25,-5.25
2777,29,USA,31,-20.0,0.0,0.375,-7.75
2777,29,USA,32,-20.0,0.0,0.625,-12.75
2777,29,USA,33,-20.0,0.0,0.75,-15.25
2777,29,USA,34,-20.0,0.0,0.875,-17.75
2777,29,USA,35,-20.0,-5.0,0.875,-17.75
2777,29,USA,44,20.0,0.0,0.5,10.25
2778,29,USA,1,5.0,0.0,0.5,2.75
2778,29,USA,2,10.0,0.0,0.5,4.75
2778,29,USA,3,20.0,0.0,0.5,9.75
2778,29,USA,4,30.0,0.0,0.5,14.25
2778,29,USA,5,30.0,10.0,0.5,15.25
2778,29,USA,6,30.0,20.0,0.5,25.25
2778,29,USA,7,20.0,0.0,0.125,4.75
2778,29,USA,8,20.0,5.0,0.125,9.75
2778,29,USA,9,20.0,0.0,0.25,6.75
2778,29,USA,10,20.0,0.0,0.375,7.75
2778,29,USA,11,20.0,0.0,0.625,12.25
2778,29,USA,12,20.0,0.0,0.75,12.75
2778,29,USA,13,20.0,0.0,0.875,17.75
2778,29,USA,14,20.0,5.0,0.875,12.25
2778,29,USA,23,-5.0,0.0,0.5,-2.75
2778,29,USA,24,-10.0,0.0,0.5,-5.25
2778,29,USA,25,-20.0,0.0,0.5,-9.25
2778,29,USA,26,-20.0,-5.0,0.5,-11.75
2778,29,USA,27,-20.0,-10.0,0.5,-15.75
2778,29,USA,28,-20.0,0.0,0.125,-5.25
2778,29,USA,29,-20.0,-5.0,0.125,-10.25
2778,29,USA,30,-20.0,0.0,0.25,-8.25
2778,29,USA,31,-20.0,0.0,0.375,-8.25
2778,29,USA,32,-20.0,0.0,0.625,-13.25
2778,29,USA,33,-20.0,0.0,0.75,-13.75
2778,29,USA,34,-20.0,0.0,0.875,-13.75
2778,29,USA,35,-20.0,-5.0,0.875,-15.75
2778,29,USA,44,20.0,0.0,0.5,14.75
2779,29,USA,1,5.0,0.0,0.5,2.25
2779,29,USA,2,10.0,0.0,0.5,4.25
2779,29,USA,3,20.0,0.0,0.5,9.75
2779,29,USA,4,30.0,0.0,0.5,14.75
2779,29,USA,5,30.0,10.0,0.5,14.75
2779,29,USA,6,30.0,20.0,0.5,20.25
2779,29,USA,7,20.0,0.0,0.125,7.25
2779,29,USA,8,20.0,5.0,0.125,7.25
2779,29,USA,9,20.0,0.0,0.25,7.25
2779,29,USA,10,20.0,0.0,0.375,7.25
2779,29,USA,11,20.0,0.0,0.625,9.75
2779,29,USA,12,20.0,0.0,0.75,9.75
2779,29,USA,13,20.0,0.0,0.875,15.25
2779,29,USA,14,20.0,5.0,0.875,15.25
2779,29,USA,23,-5.0,0.0,0.5,-2.25
2779,29,USA,24,-10.0,0.0,0.5,-5.25
2779,29,USA,25,-20.0,0.0,0.5,-13.75
2779,29,USA,26,-20.0,-5.0,0.5,-15.25
2779,29,USA,27,-20.0,-10.0,0.5,-15.25
2779,29,USA,28,-20.0,0.0,0.125,-2.25
2779,29,USA,29,-20.0,-5.0,0.125,-5.25
2779,29,USA,30,-20.0,0.0,0.25,-6.75
2779,29,USA,31,-20.0,0.0,0.375,-8.75
2779,29,USA,32,-20.0,0.0,0.625,-13.75
2779,29,USA,33,-20.0,0.0,0.75,-15.25
2779,29,USA,34,-20.0,0.0,0.875,-17.25
2779,29,USA,35,-20.0,-5.0,0.875,-17.25
2779,29,USA,44,20.0,0.0,0.5,11.25
2780,29,USA,1,5.0,0.0,0.5,2.75
2780,29,USA,2,10.0,0.0,0.5,5.25
2780,29,USA,3,20.0,0.0,0.5,10.25
2780,29,USA,4,30.0,0.0,0.5,12.25
2780,29,USA,5,30.0,10.0,0.5,20.25
2780,29,USA,6,30.0,20.0,0.5,27.25
2780,29,USA,7,20.0,0.0,0.125,4.75
2780,29,USA,8,20.0,5.0,0.125,10.25
2780,29,USA,9,20.0,0.0,0.25,7.25
2780,29,USA,10,20.0,0.0,0.375,7.75
2780,29,USA,11,20.0,0.0,0.625,12.25
2780,29,USA,12,20.0,0.0,0.75,14.75
2780,29,USA,13,20.0,0.0,0.875,17.25
2780,29,USA,14,20.0,5.0,0.875,18.25
2780,29,USA,23,-5.0,0.0,0.5,-2.75
2780,29,USA,24,-10.0,0.0,0.5,-5.25
2780,29,USA,25,-20.0,0.0,0.5,-10.25
2780,29,USA,26,-20.0,-5.0,0.5,-12.75
2780,29,USA,27,-20.0,-10.0,0.5,-14.75
2780,29,USA,28,-20.0,0.0,0.125,-5.25
2780,29,USA,29,-20.0,-5.0,0.125,-8.25
2780,29,USA,30,-20.0,0.0,0.25,-5.25
2780,29,USA,31,-20.0,0.0,0.375,-8.25
2780,29,USA,32,-20.0,0.0,0.625,-11.25
2780,29,USA,33,-20.0,0.0,0.75,-14.75
2780,29,USA,34,-20.0,0.0,0.875,-16.75
2780,29,USA,35,-20.0,-5.0,0.875,-16.25
2780,29,USA,44,20.0,0.0,0.5,12.25
2781,29,USA,1,5.0,0.0,0.5,2.75
2781,29,USA,2,10.0,0.0,0.5,5.25
2781,29,USA,3,20.0,0.0,0.5,10.25
2781,29,USA,4,30.0,0.0,0.5,15.25
2781,29,USA,5,30.0,10.0,0.5,21.25
2781,29,USA,6,30.0,20.0,0.5,25.25
2781,29,USA,7,20.0,0.0,0.125,2.25
2781,29,USA,8,20.0,5.0,0.125,7.75
2781,29,USA,9,20.0,0.0,0.25,5.25
2781,29,USA,10,20.0,0.0,0.375,7.75
2781,29,USA,11,20.0,0.0,0.625,12.75
2781,29,USA,12,20.0,0.0,0.75,15.25
2781,29,USA,13,20.0,0.0,0.875,17.75
2781,29,USA,14,20.0,5.0,0.875,18.75
2781,29,USA,23,-5.0,0.0,0.5,-2.75
2781,29,USA,24,-10.0,0.0,0.5,-4.75
2781,29,USA,25,-20.0,0.0,0.5,-9.75
2781,29,USA,26,-20.0,-5.0,0.5,-12.25
2781,29,USA,27,-20.0,-10.0,0.5,-14.75
2781,29,USA,28,-20.0,0.0,0.125,-2.75
2781,29,USA,29,-20.0,-5.0,0.125,-7.75
2781,29,USA,30,-20.0,0.0,0.25,-5.25
2781,29,USA,31,-20.0,0.0,0.375,-7.75
2781,29,USA,32,-20.0,0.0,0.625,-12.75
2781,29,USA,33,-20.0,0.0,0.75,-15.25
2781,29,USA,34,-20.0,0.0,0.875,-17.75
2781,29,USA,35,-20.0,-5.0,0.875,-18.75
2781,29,USA,44,20.0,0.0,0.5,13.75
2782,29,USA,1,5.0,0.0,0.5,3.25
2782,29,USA,2,10.0,0.0,0.5,3.75
2782,29,USA,3,20.0,0.0,0.5,7.25
2782,29,USA,4,30.0,0.0,0.5,13.75
2782,29,USA,5,30.0,10.0,0.5,14.75
2782,29,USA,6,30.0,20.0,0.5,24.25
2782,29,USA,7,20.0,0.0,0.125,4.25
2782,29,USA,8,20.0,5.0,0.125,7.25
2782,29,USA,9,20.0,0.0,0.25,4.25
2782,29,USA,10,20.0,0.0,0.375,4.25
2782,29,USA,11,20.0,0.0,0.625,5.25
2782,29,USA,12,20.0,0.0,0.75,6.75
2782,29,USA,13,20.0,0.0,0.875,8.25
2782,29,USA,14,20.0,5.0,0.875,14.75
2782,29,USA,23,-5.0,0.0,0.5,-4.75
2782,29,USA,24,-10.0,0.0,0.5,-9.75
2782,29,USA,25,-20.0,0.0,0.5,-19.75
2782,29,USA,26,-20.0,-5.0,0.5,-19.75
2782,29,USA,27,-20.0,-10.0,0.5,-19.75
2782,29,USA,28,-20.0,0.0,0.125,-19.75
2782,29,USA,29,-20.0,-5.0,0.125,-5.25
2782,29,USA,30,-20.0,0.0,0.25,-4.75
2782,29,USA,31,-20.0,0.0,0.375,-9.75
2782,29,USA,32,-20.0,0.0,0.625,-10.25
2782,29,USA,33,-20.0,0.0,0.75,-15.25
2782,29,USA,34,-20.0,0.0,0.875,-15.25
2782,29,USA,35,-20.0,-5.0,0.875,-14.75
2782,29,USA,44,20.0,0.0,0.5,8.75
2783,29,USA,1,5.0,0.0,0.5,2.25
2783,29,USA,2,10.0,0.0,0.5,4.25
2783,29,USA,3,20.0,0.0,0.5,6.75
2783,29,USA,4,30.0,0.0,0.5,9.75
2783,29,USA,5,30.0,10.0,0.5,18.25
2783,29,USA,6,30.0,20.0,0.5,29.75
2783,29,USA,7,20.0,0.0,0.125,6.75
2783,29,USA,8,20.0,5.0,0.125,5.25
2783,29,USA,9,20.0,0.0,0.25,4.25
2783,29,USA,10,20.0,0.0,0.375,4.25
2783,29,USA,11,20.0,0.0,0.625,12.25
2783,29,USA,12,20.0,0.0,0.75,12.25
2783,29,USA,13,20.0,0.0,0.875,19.75
2783,29,USA,14,20.0,5.0,0.875,19.75
2783,29,USA,23,-5.0,0.0,0.5,-2.25
2783,29,USA,24,-10.0,0.0,0.5,-3.25
2783,29,USA,25,-20.0,0.0,0.5,-6.75
2783,29,USA,26,-20.0,-5.0,0.5,-7.75
2783,29,USA,27,-20.0,-10.0,0.5,-12.75
2783,29,USA,28,-20.0,0.0,0.125,-0.25
2783,29,USA,29,-20.0,-5.0,0.125,-5.25
2783,29,USA,30,-20.0,0.0,0.25,-4.25
2783,29,USA,31,-20.0,0.0,0.375,-5.25
2783,29,USA,32,-20.0,0.0,0.625,-12.75
2783,29,USA,33,-20.0,0.0,0.75,-15.25
2783,29,USA,34,-20.0,0.0,0.875,-18.25
2783,29,USA,35,-20.0,-5.0,0.875,-18.25
2783,29,USA,44,20.0,0.0,0.5,7.75
2784,29,USA,1,5.0,0.0,0.5,2.25
2784,29,USA,2,10.0,0.0,0.5,1.75
2784,29,USA,3,20.0,0.0,0.5,4.25
2784,29,USA,4,30.0,0.0,0.5,5.25
2784,29,USA,5,30.0,10.0,0.5,12.25
2784,29,USA,6,30.0,20.0,0.5,21.75
2784,29,USA,7,20.0,0.0,0.125,0.25
2784,29,USA,8,20.0,5.0,0.125,5.25
2784,29,USA,9,20.0,0.0,0.25,0.25
2784,29,USA,10,20.0,0.0,0.375,0.25
2784,29,USA,11,20.0,0.0,0.625,5.25
2784,29,USA,12,20.0,0.0,0.75,8.25
2784,29,USA,13,20.0,0.0,0.875,17.25
2784,29,USA,14,20.0,5.0,0.875,16.75
2784,29,USA,23,-5.0,0.0,0.5,-2.75
2784,29,USA,24,-10.0,0.0,0.5,-5.25
2784,29,USA,25,-20.0,0.0,0.5,-12.75
2784,29,USA,26,-20.0,-5.0,0.5,-13.25
2784,29,USA,27,-20.0,-10.0,0.5,-15.25
2784,29,USA,28,-20.0,0.0,0.125,-0.25
2784,29,USA,29,-20.0,-5.0,0.125,-5.25
2784,29,USA,30,-20.0,0.0,0.25,-5.25
2784,29,USA,31,-20.0,0.0,0.375,-9.25
2784,29,USA,32,-20.0,0.0,0.625,-18.25
2784,29,USA,33,-20.0,0.0,0.75,-19.75
2784,29,USA,34,-20.0,0.0,0.875,-19.75
2784,29,USA,35,-20.0,-5.0,0.875,-19.75
2784,29,USA,44,20.0,0.0,0.5,1.75
2785,29,USA,1,5.0,0.0,0.5,2.25
2785,29,USA,2,10.0,0.0,0.5,2.75
2785,29,USA,3,20.0,0.0,0.5,4.75
2785,29,USA,4,30.0,0.0,0.5,7.25
2785,29,USA,5,30.0,10.0,0.5,29.75
2785,29,USA,6,30.0,20.0,0.5,24.75
2785,29,USA,7,20.0,0.0,0.125,2.25
2785,29,USA,8,20.0,5.0,0.125,7.25
2785,29,USA,9,20.0,0.0,0.25,2.25
2785,29,USA,10,20.0,0.0,0.375,2.25
2785,29,USA,11,20.0,0.0,0.625,3.75
2785,29,USA,12,20.0,0.0,0.75,4.25
2785,29,USA,13,20.0,0.0,0.875,5.25
2785,29,USA,14,20.0,5.0,0.875,7.75
2785,29,USA,23,-5.0,0.0,0.5,-3.25
2785,29,USA,24,-10.0,0.0,0.5,-7.25
2785,29,USA,25,-20.0,0.0,0.5,-16.75
2785,29,USA,26,-20.0,-5.0,0.5,-15.25
2785,29,USA,27,-20.0,-10.0,0.5,-14.75
2785,29,USA,28,-20.0,0.0,0.125,-10.25
2785,29,USA,29,-20.0,-5.0,0.125,-10.25
2785,29,USA,30,-20.0,0.0,0.25,-15.25
2785,29,USA,31,-20.0,0.0,0.375,-15.25
2785,29,USA,32,-20.0,0.0,0.625,-17.25
2785,29,USA,33,-20.0,0.0,0.75,-15.75
2785,29,USA,34,-20.0,0.0,0.875,-18.75
2785,29,USA,35,-20.0,-5.0,0.875,-18.75
2785,29,USA,44,20.0,0.0,0.5,10.25
2786,29,USA,1,5.0,0.0,0.5,2.25
2786,29,USA,2,10.0,0.0,0.5,6.75
2786,29,USA,3,20.0,0.0,0.5,11.75
2786,29,USA,4,30.0,0.0,0.5,17.25
2786,29,USA,5,30.0,10.0,0.5,19.75
2786,29,USA,6,30.0,20.0,0.5,27.25
2786,29,USA,7,20.0,0.0,0.125,4.75
2786,29,USA,8,20.0,5.0,0.125,8.25
2786,29,USA,9,20.0,0.0,0.25,4.75
2786,29,USA,10,20.0,0.0,0.375,7.25
2786,29,USA,11,20.0,0.0,0.625,12.25
2786,29,USA,12,20.0,0.0,0.75,12.25
2786,29,USA,13,20.0,0.0,0.875,14.75
2786,29,USA,14,20.0,5.0,0.875,14.75
2786,29,USA,23,-5.0,0.0,0.5,-2.25
2786,29,USA,24,-10.0,0.0,0.5,-3.75
2786,29,USA,25,-20.0,0.0,0.5,-9.75
2786,29,USA,26,-20.0,-5.0,0.5,-10.75
2786,29,USA,27,-20.0,-10.0,0.5,-12.75
2786,29,USA,28,-20.0,0.0,0.125,-2.25
2786,29,USA,29,-20.0,-5.0,0.125,-7.25
2786,29,USA,30,-20.0,0.0,0.25,-4.75
2786,29,USA,31,-20.0,0.0,0.375,-6.75
2786,29,USA,32,-20.0,0.0,0.625,-10.25
2786,29,USA,33,-20.0,0.0,0.75,-10.25
2786,29,USA,34,-20.0,0.0,0.875,-11.75
2786,29,USA,35,-20.0,-5.0,0.875,-12.25
2786,29,USA,44,20.0,0.0,0.5,8.75
2787,29,USA,1,5.0,0.0,0.5,2.75
2787,29,USA,2,10.0,0.0,0.5,4.25
2787,29,USA,3,20.0,0.0,0.5,8.25
2787,29,USA,4,30.0,0.0,0.5,12.25
2787,29,USA,5,30.0,10.0,0.5,17.25
2787,29,USA,6,30.0,20.0,0.5,25.25
2787,29,USA,7,20.0,0.0,0.125,4.25
2787,29,USA,8,20.0,5.0,0.125,9.75
2787,29,USA,9,20.0,0.0,0.25,4.75
2787,29,USA,10,20.0,0.0,0.375,8.25
2787,29,USA,11,20.0,0.0,0.625,12.25
2787,29,USA,12,20.0,0.0,0.75,17.25
2787,29,USA,13,20.0,0.0,0.875,17.25
2787,29,USA,14,20.0,5.0,0.875,17.25
2787,29,USA,23,-5.0,0.0,0.5,-2.25
2787,29,USA,24,-10.0,0.0,0.5,-4.75
2787,29,USA,25,-20.0,0.0,0.5,-10.25
2787,29,USA,26,-20.0,-5.0,0.5,-11.25
2787,29,USA,27,-20.0,-10.0,0.5,-14.75
2787,29,USA,28,-20.0,0.0,0.125,-2.75
2787,29,USA,29,-20.0,-5.0,0.125,-6.75
2787,29,USA,30,-20.0,0.0,0.25,-3.25
2787,29,USA,31,-20.0,0.0,0.375,-4.75
2787,29,USA,32,-20.0,0.0,0.625,-12.75
2787,29,USA,33,-20.0,0.0,0.75,-15.25
2787,29,USA,34,-20.0,0.0,0.875,-17.25
2787,29,USA,35,-20.0,-5.0,0.875,-17.25
2787,29,USA,44,20.0,0.0,0.5,13.75
2788,29,USA,1,5.0,0.0,0.5,3.75
2788,29,USA,2,10.0,0.0,0.5,7.25
2788,29,USA,3,20.0,0.0,0.5,15.25
2788,29,USA,4,30.0,0.0,0.5,11.75
2788,29,USA,5,30.0,10.0,0.5,17.75
2788,29,USA,6,30.0,20.0,0.5,25.25
2788,29,USA,7,20.0,0.0,0.125,5.25
2788,29,USA,8,20.0,5.0,0.125,10.25
2788,29,USA,9,20.0,0.0,0.25,5.25
2788,29,USA,10,20.0,0.0,0.375,7.75
2788,29,USA,11,20.0,0.0,0.625,10.25
2788,29,USA,12,20.0,0.0,0.75,12.75
2788,29,USA,13,20.0,0.0,0.875,18.75
2788,29,USA,14,20.0,5.0,0.875,19.75
2788,29,USA,23,-5.0,0.0,0.5,-2.75
2788,29,USA,24,-10.0,0.0,0.5,-7.75
2788,29,USA,25,-20.0,0.0,0.5,-10.25
2788,29,USA,26,-20.0,-5.0,0.5,-12.75
2788,29,USA,27,-20.0,-10.0,0.5,-12.75
2788,29,USA,28,-20.0,0.0,0.125,-7.25
2788,29,USA,29,-20.0,-5.0,0.125,-5.25
2788,29,USA,30,-20.0,0.0,0.25,-5.25
2788,29,USA,31,-20.0,0.0,0.375,-7.25
2788,29,USA,32,-20.0,0.0,0.625,-10.25
2788,29,USA,33,-20.0,0.0,0.75,-12.75
2788,29,USA,34,-20.0,0.0,0.875,-15.25
2788,29,USA,35,-20.0,-5.0,0.875,-10.25
2788,29,USA,44,20.0,0.0,0.5,1.75
2789,29,USA,1,5.0,0.0,0.5,1.75
2789,29,USA,2,10.0,0.0,0.5,3.75
2789,29,USA,3,20.0,0.0,0.5,4.75
2789,29,USA,4,30.0,0.0,0.5,5.25
2789,29,USA,5,30.0,10.0,0.5,15.75
2789,29,USA,6,30.0,20.0,0.5,20.25
2789,29,USA,7,20.0,0.0,0.125,0.25
2789,29,USA,8,20.0,5.0,0.125,5.25
2789,29,USA,9,20.0,0.0,0.25,2.25
2789,29,USA,10,20.0,0.0,0.375,4.75
2789,29,USA,11,20.0,0.0,0.625,11.25
2789,29,USA,12,20.0,0.0,0.75,12.25
2789,29,USA,13,20.0,0.0,0.875,15.75
2789,29,USA,14,20.0,5.0,0.875,17.75
2789,29,USA,23,-5.0,0.0,0.5,-2.75
2789,29,USA,24,-10.0,0.0,0.5,-6.25
2789,29,USA,25,-20.0,0.0,0.5,-13.25
2789,29,USA,26,-20.0,-5.0,0.5,-14.25
2789,29,USA,27,-20.0,-10.0,0.5,-14.25
2789,29,USA,28,-20.0,0.0,0.125,-3.25
2789,29,USA,29,-20.0,-5.0,0.125,-8.25
2789,29,USA,30,-20.0,0.0,0.25,-3.75
2789,29,USA,31,-20.0,0.0,0.375,-8.25
2789,29,USA,32,-20.0,0.0,0.625,-13.25
2789,29,USA,33,-20.0,0.0,0.75,-17.25
2789,29,USA,34,-20.0,0.0,0.875,-18.75
2789,29,USA,35,-20.0,-5.0,0.875,-18.75
2789,29,USA,44,20.0,0.0,0.5,17.25
2790,29,USA,1,5.0,0.0,0.5,0.25
2790,29,USA,2,10.0,0.0,0.5,5.25
2790,29,USA,3,20.0,0.0,0.5,5.25
2790,29,USA,4,30.0,0.0,0.5,10.25
2790,29,USA,5,30.0,10.0,0.5,15.25
2790,29,USA,6,30.0,20.0,0.5,29.75
2790,29,USA,7,20.0,0.0,0.125,5.25
2790,29,USA,8,20.0,5.0,0.125,10.25
2790,29,USA,9,20.0,0.0,0.25,5.25
2790,29,USA,10,20.0,0.0,0.375,5.25
2790,29,USA,11,20.0,0.0,0.625,7.25
2790,29,USA,12,20.0,0.0,0.75,9.75
2790,29,USA,13,20.0,0.0,0.875,14.75
2790,29,USA,14,20.0,5.0,0.875,16.75
2790,29,USA,23,-5.0,0.0,0.5,-2.75
2790,29,USA,24,-10.0,0.0,0.5,-6.25
2790,29,USA,25,-20.0,0.0,0.5,-14.75
2790,29,USA,26,-20.0,-5.0,0.5,-12.75
2790,29,USA,27,-20.0,-10.0,0.5,-14.75
2790,29,USA,28,-20.0,0.0,0.125,-4.75
2790,29,USA,29,-20.0,-5.0,0.125,-5.25
2790,29,USA,30,-20.0,0.0,0.25,-5.25
2790,29,USA,31,-20.0,0.0,0.375,-5.75
2790,29,USA,32,-20.0,0.0,0.625,-12.75
2790,29,USA,33,-20.0,0.0,0.75,-14.75
2790,29,USA,34,-20.0,0.0,0.875,-14.75
2790,29,USA,35,-20.0,-5.0,0.875,-15.25
2790,29,USA,44,20.0,0.0,0.5,8.75
2791,29,USA,1,5.0,0.0,0.5,2.75
2791,29,USA,2,10.0,0.0,0.5,5.75
2791,29,USA,3,20.0,0.0,0.5,8.25
2791,29,USA,4,30.0,0.0,0.5,14.25
2791,29,USA,5,30.0,10.0,0.5,17.25
2791,29,USA,6,30.0,20.0,0.5,20.25
2791,29,USA,7,20.0,0.0,0.125,3.25
2791,29,USA,8,20.0,5.0,0.125,6.75
2791,29,USA,9,20.0,0.0,0.25,5.75
2791,29,USA,10,20.0,0.0,0.375,8.75
2791,29,USA,11,20.0,0.0,0.625,11.25
2791,29,USA,12,20.0,0.0,0.75,14.75
2791,29,USA,13,20.0,0.0,0.875,17.25
2791,29,USA,14,20.0,5.0,0.875,12.75
2791,29,USA,23,-5.0,0.0,0.5,-2.75
2791,29,USA,24,-10.0,0.0,0.5,-5.75
2791,29,USA,25,-20.0,0.0,0.5,-11.75
2791,29,USA,26,-20.0,-5.0,0.5,-12.75
2791,29,USA,27,-20.0,-10.0,0.5,-14.75
2791,29,USA,28,-20.0,0.0,0.125,-1.75
2791,29,USA,29,-20.0,-5.0,0.125,-7.25
2791,29,USA,30,-20.0,0.0,0.25,-5.25
2791,29,USA,31,-20.0,0.0,0.375,-4.75
2791,29,USA,32,-20.0,0.0,0.625,-11.25
2791,29,USA,33,-20.0,0.0,0.75,-12.75
2791,29,USA,34,-20.0,0.0,0.875,-14.75
2791,29,USA,35,-20.0,-5.0,0.875,-15.75
2791,29,USA,44,20.0,0.0,0.5,11.25
2792,29,USA,1,5.0,0.0,0.5,2.25
2792,29,USA,2,10.0,0.0,0.5,4.25
2792,29,USA,3,20.0,0.0,0.5,10.25
2792,29,USA,4,30.0,0.0,0.5,15.25
2792,29,USA,5,30.0,10.0,0.5,19.75
2792,29,USA,6,30.0,20.0,0.5,24.75
2792,29,USA,7,20.0,0.0,0.125,3.25
2792,29,USA,8,20.0,5.0,0.125,7.75
2792,29,USA,9,20.0,0.0,0.25,5.75
2792,29,USA,10,20.0,0.0,0.375,7.25
2792,29,USA,11,20.0,0.0,0.625,11.75
2792,29,USA,12,20.0,0.0,0.75,13.25
2792,29,USA,13,20.0,0.0,0.875,18.25
2792,29,USA,14,20.0,5.0,0.875,18.25
2792,29,USA,23,-5.0,0.0,0.5,-2.25
2792,29,USA,24,-10.0,0.0,0.5,-4.25
2792,29,USA,25,-20.0,0.0,0.5,-12.25
2792,29,USA,26,-20.0,-5.0,0.5,-12.75
2792,29,USA,27,-20.0,-10.0,0.5,-15.25
2792,29,USA,28,-20.0,0.0,0.125,-1.75
2792,29,USA,29,-20.0,-5.0,0.125,-6.75
2792,29,USA,30,-20.0,0.0,0.25,-4.25
2792,29,USA,31,-20.0,0.0,0.375,-8.75
2792,29,USA,32,-20.0,0.0,0.625,-13.25
2792,29,USA,33,-20.0,0.0,0.75,-16.25
2792,29,USA,34,-20.0,0.0,0.875,-18.25
2792,29,USA,35,-20.0,-5.0,0.875,-18.25
2792,29,USA,44,20.0,0.0,0.5,12.25
2793,29,USA,1,5.0,0.0,0.5,2.25
2793,29,USA,2,10.0,0.0,0.5,3.25
2793,29,USA,3,20.0,0.0,0.5,4.75
2793,29,USA,4,30.0,0.0,0.5,5.25
2793,29,USA,5,30.0,10.0,0.5,19.25
2793,29,USA,6,30.0,20.0,0.5,25.25
2793,29,USA,7,20.0,0.0,0.125,1.25
2793,29,USA,8,20.0,5.0,0.125,6.75
